X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-17.903,-5.274,-4.346.794,-17.113.541,2
-17.737,-5.095,-4.346.794,-17.113.541,2
-17.621,-4.938,-4.346.794,-17.113.541,2
-17.493,-4.795,-4.346.794,-17.113.541,2
3.454,-3.989,18.776.932,-8.321.433,3
34.514,-388,18.776.932,-8.321.433,3
34.656,-3.789,18.776.932,-8.321.433,3
34.936,-3.683,18.776.932,-8.321.433,3
35.214,-357,18.776.932,-8.321.433,3
35.554,-3.456,18.776.932,-8.321.433,3
35.937,-3.362,18.776.932,-8.321.433,3
3.628,-3.225,18.776.932,-8.321.433,3
36.502,-3.077,18.776.932,-8.321.433,3
36.642,-3.001,18.776.932,-8.321.433,3
36.691,-2.984,18.776.932,-8.321.433,3
36.671,-2.987,18.776.932,-8.321.433,3
36.633,-2.975,18.776.932,-8.321.433,3
36.549,-2.913,18.776.932,-8.321.433,3
36.452,-2.787,18.776.932,-8.321.433,3
36.465,-26,18.776.932,-8.321.433,3
36.518,-2.346,18.776.932,-8.321.433,3
36.506,-2.037,18.776.932,-8.321.433,3
36.394,-1.762,18.776.932,-8.321.433,3
36.119,-1.482,18.776.932,-8.321.433,3
35.756,-1.256,18.776.932,-8.321.433,3
3.531,-1.083,18.776.932,-8.321.433,3
34.695,-981,18.776.932,-8.321.433,3
33.991,-948,18.776.932,-8.321.433,3
