X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-11.734,-8.377,7.841.278,-10.893.518,0
-11.657,-8.405,7.841.278,-10.893.518,0
-11.584,-8.457,7.841.278,-10.893.518,0
-11.512,-8.491,7.841.278,-10.893.518,0
-11.523,-8.506,7.841.278,-10.893.518,0
-1.154,-8.482,7.841.278,-10.893.518,0
-11.563,-8.445,7.841.278,-10.893.518,0
-11.625,-8.433,9.460.747,-16.671.318,0
-11.662,-8.412,9.460.747,-16.671.318,0
-11.721,-8.399,9.460.747,-16.671.318,0
-11.788,-8.391,9.460.747,-16.671.318,0
-11.806,-8.384,9.460.747,-16.671.318,0
-11.811,-8.383,9.460.747,-16.671.318,0
-11.795,-8.365,9.460.747,-16.671.318,0
-11.806,-8.352,9.460.747,-16.671.318,0
-11.837,-8.347,9.460.747,-16.671.318,0
-11.877,-8.344,9.460.747,-16.671.318,0
-11.911,-8.341,9.460.747,-16.671.318,0
-11.959,-835,9.460.747,-16.671.318,0
-11.986,-835,9.460.747,-16.671.318,0
-0.12,-8.346,9.460.747,-16.671.318,0
-1.198,-8.332,9.460.747,-16.671.318,0
-11.982,-8.317,10.476.654,-2.780.448,0
-11.997,-8.312,10.476.654,-2.780.448,0
-12.022,-8.298,10.476.654,-2.780.448,0
-12.052,-8.286,10.476.654,-2.780.448,0
-12.056,-8.282,10.476.654,-2.780.448,0
-12.089,-8.288,10.476.654,-2.780.448,0
-12.097,-8.295,10.476.654,-2.780.448,0
-12.072,-8.307,10.476.654,-2.780.448,0
-12.083,-8.305,10.476.654,-2.780.448,0
-12.089,-8.273,10.476.654,-2.780.448,0
-12.105,-8.216,10.476.654,-2.780.448,0
-12.177,-8.123,10.476.654,-2.780.448,0
-12.205,-8.062,10.476.654,-2.780.448,0
-12.258,-8.079,10.476.654,-2.780.448,0
-12.284,-8.159,8.989.344,-18.266.444,0
-12.292,-8.303,8.989.344,-18.266.444,0
-12.329,-845,8.989.344,-18.266.444,0
-12.371,-8.543,8.989.344,-18.266.444,0
-1.244,-8.559,8.989.344,-18.266.444,0
-12.455,-8.507,8.989.344,-18.266.444,0
-12.444,-8.432,8.989.344,-18.266.444,0
-12.456,-8.334,8.989.344,-18.266.444,0
-12.472,-8.201,8.989.344,-18.266.444,0
-12.516,-8.081,8.989.344,-18.266.444,0
-12.526,-7.998,8.989.344,-18.266.444,0
-12.543,-795,8.989.344,-18.266.444,0
-1.257,-7.932,8.989.344,-18.266.444,0
-12.599,-792,8.989.344,-18.266.444,0
-12.674,-7.906,8.989.344,-18.266.444,0
-12.728,-788,8.989.344,-18.266.444,0
-12.773,-7.835,8.989.344,-18.266.444,0
-12.778,-7.784,943.037,-17.412.726,0
-12.734,-7.729,943.037,-17.412.726,0
-12.705,-7.674,943.037,-17.412.726,0
-12.652,-763,943.037,-17.412.726,0
-12.632,-7.612,943.037,-17.412.726,0
-12.609,-7.596,943.037,-17.412.726,0
-12.587,-7.604,943.037,-17.412.726,0
-12.587,-7.642,943.037,-17.412.726,0
-12.614,-7.684,943.037,-17.412.726,0
-12.643,-7.716,943.037,-17.412.726,0
-12.695,-7.753,943.037,-17.412.726,0
-12.685,-7.804,943.037,-17.412.726,0
-12.694,-7.867,943.037,-17.412.726,0
-12.683,-7.923,943.037,-17.412.726,0
-12.734,-7.951,14.102.533,-27.096.624,0
-12.824,-7.921,14.102.533,-27.096.624,0
-12.812,-7.944,14.102.533,-27.096.624,0
-12.797,-7.964,14.102.533,-27.096.624,0
-12.762,-8.011,14.102.533,-27.096.624,0
-12.778,-8.069,14.102.533,-27.096.624,0
-12.846,-8.097,14.102.533,-27.096.624,0
-12.965,-8.104,14.102.533,-27.096.624,0
-13.061,-8.121,14.102.533,-27.096.624,0
-13.146,-8.156,14.102.533,-27.096.624,0
-13.207,-8.203,14.102.533,-27.096.624,0
-13.293,-8.237,14.102.533,-27.096.624,0
-13.353,-8.274,14.102.533,-27.096.624,0
-13.401,-8.304,14.102.533,-27.096.624,0
-13.409,-8.329,14.102.533,-27.096.624,0
-13.409,-8.326,14.102.533,-27.096.624,0
-13.435,-8.325,16.004.492,-30.570.498,0
-13.456,-8.329,16.004.492,-30.570.498,0
-13.483,-834,16.004.492,-30.570.498,0
-13.507,-837,16.004.492,-30.570.498,0
-13.536,-8.401,16.004.492,-30.570.498,0
-13.582,-8.441,16.004.492,-30.570.498,0
-13.606,-8.459,16.004.492,-30.570.498,0
-13.622,-8.484,16.004.492,-30.570.498,0
-1.363,-8.503,16.004.492,-30.570.498,0
-13.626,-851,16.004.492,-30.570.498,0
-13.634,-8.522,16.004.492,-30.570.498,0
-13.621,-8.513,16.004.492,-30.570.498,0
-13.605,-8.509,16.004.492,-30.570.498,0
-13.595,-8.496,16.004.492,-30.570.498,0
-13.594,-8.509,16.004.492,-30.570.498,0
-1.358,-8.535,11.163.518,-2.648.443,0
-13.555,-8.563,11.163.518,-2.648.443,0
-13.515,-8.564,11.163.518,-2.648.443,0
-13.545,-8.527,11.163.518,-2.648.443,0
-13.563,-8.492,11.163.518,-2.648.443,0
-13.531,-8.498,11.163.518,-2.648.443,0
-13.451,-8.512,11.163.518,-2.648.443,0
-13.369,-8.558,11.163.518,-2.648.443,0
-13.309,-8.577,11.163.518,-2.648.443,0
-13.321,-8.591,11.163.518,-2.648.443,0
-13.361,-8.577,11.163.518,-2.648.443,0
-13.373,-8.557,11.163.518,-2.648.443,0
-13.365,-8.557,11.163.518,-2.648.443,0
-13.326,-8.544,11.163.518,-2.648.443,0
-13.315,-8.532,11.163.518,-2.648.443,0
-13.347,-8.532,11.163.518,-2.648.443,0
-13.346,-8.535,11.382.164,-25.120.356,0
-13.341,-8.528,11.382.164,-25.120.356,0
-13.324,-8.518,11.382.164,-25.120.356,0
-12.302,6.861,4.788.465,-9.978.625,1
-12.279,6.829,4.788.465,-9.978.625,1
-12.126,6.749,4.788.465,-9.978.625,1
-11.925,6.619,4.788.465,-9.978.625,1
-11.835,6.505,4.788.465,-9.978.625,1
-11.755,644,4.788.465,-9.978.625,1
-11.687,6.419,4.788.465,-9.978.625,1
-11.761,6.426,4.788.465,-9.978.625,1
-11.938,6.417,4.788.465,-9.978.625,1
-12.086,6.379,4.710.556,-92.887.745,1
-12.211,6.333,4.710.556,-92.887.745,1
-12.215,6.324,4.710.556,-92.887.745,1
-12.093,6.341,4.710.556,-92.887.745,1
-11.814,6.261,4.710.556,-92.887.745,1
-11.462,6.088,4.710.556,-92.887.745,1
-11.185,5.887,4.710.556,-92.887.745,1
-10.961,5.707,4.710.556,-92.887.745,1
-10.817,5.614,4.710.556,-92.887.745,1
-10.872,5.658,4.710.556,-92.887.745,1
-1.111,5.821,4.710.556,-92.887.745,1
-11.435,6.011,4.710.556,-92.887.745,1
-11.711,6.133,4.710.556,-92.887.745,1
-11.874,618,4.710.556,-92.887.745,1
-11.952,6.173,4.710.556,-92.887.745,1
-11.968,6.119,486.856,-9.179.097,1
-11.965,6.024,486.856,-9.179.097,1
-11.981,5.889,486.856,-9.179.097,1
-12.018,5.738,486.856,-9.179.097,1
-12.106,5.557,486.856,-9.179.097,1
-12.215,5.345,486.856,-9.179.097,1
-12.434,5.118,486.856,-9.179.097,1
-12.692,4.919,486.856,-9.179.097,1
-12.992,4.746,486.856,-9.179.097,1
-13.329,4.538,486.856,-9.179.097,1
-13.663,4.265,486.856,-9.179.097,1
-14.023,3.974,486.856,-9.179.097,1
-14.315,3.733,486.856,-9.179.097,1
-14.519,3.578,486.856,-9.179.097,1
-1.464,3.504,486.856,-9.179.097,1
